,station_id,weekend,rain,temp_class,North Hollywood,Port of LA,DTLA,total_trip,stat_name,lat,long,walk_score,transit_score,bike_score,dregioncenter,trip_log
127,3026,0,0,1.0,0,0,1,380,Figueroa & Cesar Chavez,34.063179,-118.24588,85,99.0,51,0.0236,2.57978359661681
128,3026,0,0,2.0,0,0,1,105,Figueroa & Cesar Chavez,34.063179,-118.24588,85,99.0,51,0.0236,2.0211892990699383
129,3026,0,1,0.0,0,0,1,1,Figueroa & Cesar Chavez,34.063179,-118.24588,85,99.0,51,0.0236,0.0
130,3026,0,1,1.0,0,0,1,3,Figueroa & Cesar Chavez,34.063179,-118.24588,85,99.0,51,0.0236,0.47712125471966244
131,3026,1,0,0.0,0,0,1,31,Figueroa & Cesar Chavez,34.063179,-118.24588,85,99.0,51,0.0236,1.4913616938342726
132,3026,1,0,1.0,0,0,1,93,Figueroa & Cesar Chavez,34.063179,-118.24588,85,99.0,51,0.0236,1.968482948553935
133,3026,1,0,2.0,0,0,1,27,Figueroa & Cesar Chavez,34.063179,-118.24588,85,99.0,51,0.0236,1.4313637641589874
134,3027,0,0,0.0,0,0,1,181,Spring & 3rd,34.04998,-118.24716200000002,97,100.0,83,0.0214,2.2576785748691846
135,3027,0,0,1.0,0,0,1,678,Spring & 3rd,34.04998,-118.24716200000002,97,100.0,83,0.0214,2.8312296938670634
136,3027,0,0,2.0,0,0,1,174,Spring & 3rd,34.04998,-118.24716200000002,97,100.0,83,0.0214,2.2405492482826
137,3027,0,1,0.0,0,0,1,5,Spring & 3rd,34.04998,-118.24716200000002,97,100.0,83,0.0214,0.6989700043360189
138,3027,0,1,1.0,0,0,1,2,Spring & 3rd,34.04998,-118.24716200000002,97,100.0,83,0.0214,0.3010299956639812
139,3027,1,0,0.0,0,0,1,43,Spring & 3rd,34.04998,-118.24716200000002,97,100.0,83,0.0214,1.6334684555795864
140,3027,1,0,1.0,0,0,1,120,Spring & 3rd,34.04998,-118.24716200000002,97,100.0,83,0.0214,2.0791812460476247
141,3027,1,0,2.0,0,0,1,34,Spring & 3rd,34.04998,-118.24716200000002,97,100.0,83,0.0214,1.5314789170422551
142,3027,1,1,0.0,0,0,1,1,Spring & 3rd,34.04998,-118.24716200000002,97,100.0,83,0.0214,0.0
143,3028,0,0,0.0,0,0,1,68,Grand & Temple,34.058319,-118.246094,87,100.0,62,0.0222,1.8325089127062364
144,3028,0,0,1.0,0,0,1,209,Grand & Temple,34.058319,-118.246094,87,100.0,62,0.0222,2.3201462861110542
145,3028,0,0,2.0,0,0,1,61,Grand & Temple,34.058319,-118.246094,87,100.0,62,0.0222,1.7853298350107671
146,3028,1,0,0.0,0,0,1,19,Grand & Temple,34.058319,-118.246094,87,100.0,62,0.0222,1.2787536009528289
147,3028,1,0,1.0,0,0,1,57,Grand & Temple,34.058319,-118.246094,87,100.0,62,0.0222,1.7558748556724915
148,3028,1,0,2.0,0,0,1,17,Grand & Temple,34.058319,-118.246094,87,100.0,62,0.0222,1.2304489213782739
149,3029,0,0,0.0,0,0,1,123,Main & 4th,34.048851,-118.246422,97,100.0,85,0.0224,2.089905111439398
150,3029,0,0,1.0,0,0,1,398,Main & 4th,34.048851,-118.246422,97,100.0,85,0.0224,2.5998830720736876
151,3029,0,0,2.0,0,0,1,111,Main & 4th,34.048851,-118.246422,97,100.0,85,0.0224,2.0453229787866576
152,3029,0,1,0.0,0,0,1,3,Main & 4th,34.048851,-118.246422,97,100.0,85,0.0224,0.47712125471966244
153,3029,0,1,1.0,0,0,1,1,Main & 4th,34.048851,-118.246422,97,100.0,85,0.0224,0.0
154,3029,1,0,0.0,0,0,1,38,Main & 4th,34.048851,-118.246422,97,100.0,85,0.0224,1.5797835966168101
155,3029,1,0,1.0,0,0,1,124,Main & 4th,34.048851,-118.246422,97,100.0,85,0.0224,2.093421685162235
156,3029,1,0,2.0,0,0,1,36,Main & 4th,34.048851,-118.246422,97,100.0,85,0.0224,1.5563025007672873
157,3029,1,1,0.0,0,0,1,2,Main & 4th,34.048851,-118.246422,97,100.0,85,0.0224,0.3010299956639812
158,3030,0,0,0.0,0,0,1,576,Main & 1st,34.051941,-118.24353,93,100.0,74,0.0246,2.760422483423212
159,3030,0,0,1.0,0,0,1,2169,Main & 1st,34.051941,-118.24353,93,100.0,74,0.0246,3.336259552014193
